,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,Regulacion INE,Subsidio Alumb. P�blico menor 150 kWh,Subsidio Comercializacion menor 150 kWh,Subsidio consumo menor 150 kWh,Tarifa:,Total
0,78.71,3.46,29.60,135 kWh,756.28,11-09-2017,12-10-2017,4.40,-16.50,-8.68,-399.46,T-0,447.81
1,78.39,3.65,29.48,135 kWh,753.14,12-08-2017,11-09-2017,4.38,-16.43,-8.65,-397.79,T-0,446.17
2,78.07,7.19,29.36,134 kWh,742.60,12-07-2017,12-08-2017,4.33,-16.37,-8.61,-392.23,T-0,444.34
3,77.75,9.32,29.24,141 kWh,792.24,12-06-2017,12-07-2017,4.56,-16.30,-8.58,-418.43,T-0,469.80
4,77.42,2.92,84.85,162 kWh,929.97,12-05-2017,12-06-2017,10.92,,,,T-0,"1,106.08"
5,75.45,3.02,87.02,165 kWh,937.73,11-04-2017,12-05-2017,11.00,,,,T-0,"1,114.22"
6,75.13,,29.75,141 kWh,765.59,13-03-2017,11-04-2017,4.43,-14.44,-9.33,-403.60,T-0,447.53
7,74.83,2.86,29.63,146 kWh,798.82,10-02-2017,13-03-2017,4.58,-14.38,-9.30,-421.12,T-0,465.92
8,74.52,4.80,29.50,134 kWh,708.90,13-01-2017,09-03-2017,4.16,-14.32,-9.26,-373.70,T-0,424.60
9,74.24,8.80,85.64,157 kWh,868.84,11-12-2016,09-03-2017,5.46,-14.26,-9.22,-459.45,T-0,560.05
12,74.52,4.80,29.50,141 kWh,759.40,13-01-2017,10-02-2017,8.63,,,,T-0,876.85
13,74.24,8.80,29.39,150 kWh,821.23,11-12-2016,13-01-2017,4.68,-14.26,-9.22,-432.92,T-0,481.94
14,73.93,202.53,85.29,156 kWh,858.25,09-11-2016,11-12-2016,5.40,-14.21,-9.19,-453.66,T-0,748.34
15,73.63,9.11,84.93,169 kWh,941.71,10-10-2016,09-11-2016,11.00,,,,T-0,"1,120.38"
