,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,Regulacion INE,Subsidio Comercializacion menor 150 kWh,Subsidio consumo menor 150 kWh,Tarifa:,Total
0,,29.12,68 kWh,295.25,08-05-2017,07-06-2017,1.60,-8.54,-155.73,T-0,161.70
1,1.69,29.87,98 kWh,457.91,06-04-2017,08-05-2017,2.37,-9.37,-241.40,T-0,241.07
2,0.47,29.75,103 kWh,488.79,08-03-2017,06-04-2017,2.52,-9.33,-257.68,T-0,254.52
3,0.82,29.63,79 kWh,350.21,06-02-2017,08-03-2017,1.86,-9.30,-184.62,T-0,188.60
4,1.12,29.50,46 kWh,169.81,09-01-2017,06-02-2017,1.01,-9.26,-89.52,T-0,102.66
5,,29.39,69 kWh,293.18,09-12-2016,09-01-2017,1.59,-9.22,-154.56,T-0,160.38
6,0.54,29.27,79 kWh,346.06,07-11-2016,09-12-2016,1.84,-9.19,-182.44,T-0,186.08
7,,29.15,71 kWh,301.48,07-10-2016,07-11-2016,1.63,-9.15,-158.93,T-0,164.18
8,0.50,29.03,73 kWh,310.97,06-09-2016,07-10-2016,1.67,-9.11,-163.93,T-0,169.13
9,0.23,28.91,92 kWh,411.18,06-08-2016,06-09-2016,2.14,-9.07,-216.77,T-0,216.62
10,0.79,28.80,72 kWh,305.59,07-07-2016,06-08-2016,1.64,-9.04,-161.13,T-0,166.65
11,,28.68,90 kWh,401.44,07-06-2016,07-07-2016,2.09,-9.00,-211.70,T-0,211.51
