,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,IVA,Regulacion INE,Subsidio Alumb. P�blico menor 150 kWh,Subsidio Comercializacion menor 150 kWh,Subsidio consumo menor 150 kWh,Tarifa:,Total
0,20.91,204.54,29.48,60 kWh,258.13,15-08-2017,13-09-2017,,1.59,-4.38,-8.65,-136.34,T-0,365.28
1,13.28,,29.36,22 kWh,55.75,14-07-2017,15-08-2017,,0.58,-2.78,-8.61,-29.44,T-0,58.14
2,77.75,,29.24,110 kWh,559.08,14-06-2017,14-07-2017,,3.46,-16.30,-8.58,-295.29,T-0,349.36
3,77.42,18.04,84.85,322 kWh,"2,048.77",15-05-2017,14-06-2017,143.41,22.11,,,,T-0,"2,394.60"
4,196.53,,161.87,641 kWh,"4,788.64",15-04-2017,15-05-2017,335.20,51.47,,,,T-0,"5,533.71"
5,195.72,15.56,161.20,623 kWh,"4,572.61",15-03-2017,15-04-2017,320.08,49.30,,,,T-0,"5,314.47"
6,194.94,,160.55,580 kWh,"4,087.17",12-02-2017,15-03-2017,286.10,44.43,,,,T-0,"4,773.19"
7,74.52,,85.96,229 kWh,"1,361.89",15-01-2017,12-02-2017,,15.22,,,,T-0,"1,537.59"
8,74.24,4.59,29.39,138 kWh,735.23,15-12-2016,15-01-2017,,4.28,-14.26,-9.22,-387.59,T-0,436.66
9,73.93,,85.29,234 kWh,"1,384.84",12-11-2016,15-12-2016,,15.44,,,,T-0,"1,559.50"
10,73.63,,29.15,150 kWh,814.54,13-10-2016,12-11-2016,,4.65,-14.15,-9.15,-429.40,T-0,469.27
11,73.34,,84.60,341 kWh,"2,089.43",12-09-2016,13-10-2016,146.26,22.47,,,,T-0,"2,416.10"
