,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,IVA,Regulacion INE,Tarifa:,Total
0,77.75,,85.20,254 kWh,"1,597.08",09-06-2017,10-07-2017,,17.60,T-0,"1,777.63"
1,77.42,221.32,84.85,243 kWh,"1,489.97",10-05-2017,09-06-2017,,16.52,T-0,"1,890.08"
2,75.45,281.84,87.02,244 kWh,"1,480.92",08-04-2017,10-05-2017,,16.43,T-0,"1,941.66"
3,75.13,,86.66,192 kWh,"1,118.33",10-03-2017,08-04-2017,,12.80,T-0,"1,292.92"
4,74.83,152.83,86.32,177 kWh,"1,011.72",08-02-2017,10-03-2017,,11.73,T-0,"1,337.43"
5,74.52,,85.96,223 kWh,"1,320.27",11-01-2017,08-02-2017,,14.81,T-0,"1,495.56"
6,74.24,,85.64,284 kWh,"1,728.56",11-12-2016,11-01-2017,,18.88,T-0,"1,907.32"
7,73.93,85.67,85.29,342 kWh,"2,112.53",09-11-2016,11-12-2016,147.88,22.72,T-0,"2,528.02"
8,73.63,,84.93,331 kWh,"2,029.69",10-10-2016,09-11-2016,142.08,21.88,T-0,"2,352.21"
9,73.34,13.10,84.60,379 kWh,"2,342.63",08-09-2016,10-10-2016,163.98,25.01,T-0,"2,702.66"
10,73.04,188.70,84.25,380 kWh,"2,339.34",09-08-2016,08-09-2016,163.75,24.97,T-0,"2,874.05"
11,72.75,228.40,83.91,384 kWh,"2,374.33",09-07-2016,09-08-2016,166.20,25.31,T-0,"2,950.90"
