,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,Regulacion INE,Subsidio Alumb. P�blico menor 150 kWh,Subsidio Comercializacion menor 150 kWh,Subsidio a Jubilados con consumo menor 150kWh,Subsidio consumo menor 150 kWh,Tarifa:,Total
0,79.68,1.09,29.97,125 kWh,688.64,14-12-2017,13-01-2018,2.47,-16.71,-8.79,-344.33,-181.87,T-J,250.15
1,79.36,,29.85,132 kWh,739.56,11-11-2017,14-12-2017,2.58,-16.64,-8.76,-369.78,-195.30,T-J,260.87
2,79.03,1.27,29.72,128 kWh,705.77,12-10-2017,11-11-2017,2.50,-16.57,-8.72,-352.88,-186.39,T-J,253.73
3,78.71,1.23,29.60,122 kWh,657.22,11-09-2017,12-10-2017,2.38,-16.50,-8.68,-328.61,-173.57,T-J,241.78
4,78.39,1.53,29.48,127 kWh,692.43,12-08-2017,11-09-2017,2.46,-16.43,-8.65,-346.22,-182.87,T-J,250.12
5,78.07,,29.36,123 kWh,659.46,12-07-2017,12-08-2017,2.38,-16.37,-8.61,-329.74,-174.15,T-J,240.40
6,77.75,2.80,29.24,120 kWh,634.17,12-06-2017,12-07-2017,2.32,-16.30,-8.58,-317.08,-167.47,T-J,236.85
7,77.42,1.66,29.12,142 kWh,787.02,12-05-2017,12-06-2017,2.68,-16.23,-8.54,-393.51,-207.62,T-J,272.00
8,75.45,2.09,29.87,146 kWh,805.25,11-04-2017,12-05-2017,2.72,-14.50,-9.37,-402.62,-212.26,T-J,276.63
9,75.13,1.01,29.75,125 kWh,649.19,13-03-2017,11-04-2017,2.35,-14.44,-9.33,-324.59,-171.12,T-J,237.95
10,74.83,1.13,29.63,118 kWh,586.09,10-02-2017,13-03-2017,2.12,-14.38,-9.30,-297.98,-157.10,T-J,215.04
11,74.52,,29.50,102 kWh,462.88,13-01-2017,10-02-2017,1.78,-14.32,-9.26,-239.01,-126.01,T-J,180.08
