,Alumbrado Publico,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,Regulacion INE,Subsidio Alumb. P�blico menor 150 kWh,Subsidio Comercializacion menor 150 kWh,Subsidio consumo menor 150 kWh,Tarifa:,Total
0,78.39,29.48,109 kWh,556.04,15-08-2017,13-09-2017,3.45,-16.43,-8.65,-293.69,T-0,348.59
1,78.07,29.36,128 kWh,697.50,14-07-2017,15-08-2017,4.12,-16.37,-8.61,-368.40,T-0,415.67
2,77.75,29.24,119 kWh,626.85,14-06-2017,14-07-2017,3.78,-16.30,-8.58,-331.07,T-0,381.67
3,77.42,29.12,127 kWh,677.27,15-05-2017,14-06-2017,4.02,-16.23,-8.54,-357.39,T-0,405.67
4,75.45,29.87,129 kWh,681.40,15-04-2017,15-05-2017,4.04,-14.50,-9.37,-359.23,T-0,407.66
5,75.13,29.75,139 kWh,751.37,15-03-2017,15-04-2017,4.36,-14.44,-9.33,-396.09,T-0,440.75
6,74.83,29.63,129 kWh,675.83,12-02-2017,15-03-2017,4.00,-14.38,-9.30,-356.28,T-0,404.33
7,74.52,29.50,112 kWh,550.34,15-01-2017,12-02-2017,3.41,-14.32,-9.26,-290.12,T-0,344.07
8,74.24,29.39,131 kWh,684.96,16-12-2016,15-01-2017,4.04,-14.26,-9.22,-361.08,T-0,408.07
9,73.93,29.27,120 kWh,603.41,15-11-2016,16-12-2016,3.65,-14.21,-9.19,-318.10,T-0,368.76
10,19.64,29.15,83 kWh,366.53,13-10-2016,15-11-2016,2.09,-3.77,-9.15,-193.22,T-0,211.27
11,19.57,29.03,80 kWh,348.87,12-09-2016,13-10-2016,2.01,-3.76,-9.11,-183.91,T-0,202.70
