,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía Sustraída:,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,IVA,Regulacion INE,Tarifa:,Total
0,79.36,,86.96,,419 kWh,"2,825.31",10-11-2017,13-12-2017,197.77,29.92,T-0,"3,219.32"
1,79.03,,86.60,,386 kWh,"2,575.18",11-10-2017,10-11-2017,180.26,27.41,T-0,"2,948.48"
2,78.71,,86.25,,451 kWh,"3,031.49",09-09-2017,11-10-2017,212.20,31.96,T-0,"3,440.61"
3,78.39,,85.90,,392 kWh,"2,596.88",11-08-2017,09-09-2017,181.78,27.61,T-0,"2,970.56"
5,78.07,,85.55,,364 kWh,"2,387.38",11-07-2017,11-08-2017,167.12,25.51,T-0,"2,743.63"
6,77.75,,85.20,,287 kWh,"1,831.37",10-06-2017,11-07-2017,,19.94,T-0,"2,014.26"
7,77.42,,84.85,,323 kWh,"2,047.89",11-05-2017,10-06-2017,143.35,22.10,T-0,"2,375.61"
8,196.53,,161.87,,530 kWh,"3,571.35",10-04-2017,11-05-2017,249.99,39.30,T-0,"4,219.04"
9,195.72,,161.20,,544 kWh,"3,709.11",11-03-2017,10-04-2017,259.64,40.66,T-0,"4,366.33"
10,74.83,,86.32,,454 kWh,"2,902.86",09-02-2017,11-03-2017,203.20,30.64,T-0,"3,297.85"
11,74.52,,85.96,,444 kWh,"2,823.07",12-01-2017,09-02-2017,197.61,29.84,T-0,"3,211.00"
12,193.40,,159.29,,551 kWh,"3,741.19",12-12-2016,12-01-2017,261.88,40.94,T-0,"4,396.70"
