,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,Regulacion INE,Subsidio Alumb. P�blico menor 150 kWh,Subsidio Comercializacion menor 150 kWh,Subsidio consumo menor 150 kWh,Tarifa:,Total
0,79.36,,29.85,138 kWh,785.48,10-11-2017,12-12-2017,4.54,-16.64,-8.76,-414.88,T-0,458.95
1,79.03,,29.72,125 kWh,682.69,11-10-2017,10-11-2017,4.06,-16.57,-8.72,-360.58,T-0,409.63
2,78.71,2.35,29.60,137 kWh,771.39,09-09-2017,11-10-2017,4.47,-16.50,-8.68,-407.44,T-0,453.90
3,78.39,4.24,29.48,129 kWh,707.44,11-08-2017,09-09-2017,4.17,-16.43,-8.65,-373.65,T-0,424.99
4,78.07,,29.36,144 kWh,818.05,11-07-2017,11-08-2017,4.68,-16.37,-8.61,-432.08,T-0,473.10
5,77.75,0.66,29.24,138 kWh,769.52,10-06-2017,11-07-2017,4.45,-16.30,-8.58,-406.43,T-0,450.31
6,77.42,4.72,29.12,147 kWh,822.84,11-05-2017,10-06-2017,4.71,-16.23,-8.54,-434.09,T-0,479.95
7,75.45,0.50,87.02,167 kWh,951.32,10-04-2017,11-05-2017,11.14,,,,T-0,"1,125.43"
8,75.13,1.60,86.66,159 kWh,892.55,11-03-2017,10-04-2017,10.54,,,,T-0,"1,066.48"
9,74.83,,86.32,171 kWh,970.95,09-02-2017,11-03-2017,11.32,,,,T-0,"1,143.42"
10,74.52,,29.50,149 kWh,816.99,12-01-2017,09-02-2017,9.21,,,,T-0,930.22
11,74.52,,29.50,140 kWh,752.10,12-01-2017,15-02-2017,4.36,-14.32,-9.26,-396.48,T-0,440.42
13,74.24,,85.64,161 kWh,895.65,11-12-2016,12-01-2017,10.56,,,,T-0,"1,066.09"
