,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,Regulacion INE,Subsidio a Jubilados con consumo menor 150kWh,Tarifa:,Total
0,79.36,,86.96,216 kWh,"1,355.77",11-11-2017,14-12-2017,10.84,-438.33,T-J,"1,094.60"
1,79.03,,86.60,168 kWh,"1,003.82",12-10-2017,11-11-2017,7.33,-436.85,T-J,739.93
2,78.71,,86.25,181 kWh,"1,093.18",11-09-2017,12-10-2017,8.23,-434.98,T-J,831.39
3,78.39,,85.90,188 kWh,"1,138.69",12-08-2017,11-09-2017,8.70,-433.12,T-J,878.56
4,78.07,,85.55,199 kWh,"1,212.51",12-07-2017,12-08-2017,9.45,-431.30,T-J,954.28
5,77.75,,85.20,171 kWh,"1,008.96",12-06-2017,12-07-2017,7.42,-429.79,T-J,749.54
6,77.42,,84.85,176 kWh,"1,027.40",12-05-2017,12-06-2017,7.68,-421.63,T-J,775.72
7,75.45,757.12,87.02,212 kWh,"1,261.16",11-04-2017,12-05-2017,10.07,-416.64,T-J,"1,774.18"
8,75.13,,86.66,196 kWh,"1,146.35",13-03-2017,11-04-2017,8.93,-415.10,T-J,901.97
9,74.83,,86.32,211 kWh,"1,222.98",10-02-2017,13-03-2017,9.71,-413.37,T-J,980.47
10,74.52,,85.96,160 kWh,866.21,13-01-2017,10-02-2017,6.15,-412.07,T-J,620.77
11,74.24,,85.64,175 kWh,964.76,14-12-2016,13-01-2017,7.14,-410.49,T-J,721.29
