,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,Regulacion INE,Subsidio Alumb. P�blico menor 150 kWh,Subsidio Comercializacion menor 150 kWh,Subsidio a Jubilados con consumo menor 150kWh,Subsidio consumo menor 150 kWh,Tarifa:,Total
0,75.45,757.12,87.02,212 kWh,"1,261.16",11-04-2017,12-05-2017,10.07,,,-416.64,,T-J,"1,774.18"
1,75.13,,86.66,196 kWh,"1,146.35",13-03-2017,11-04-2017,8.93,,,-415.10,,T-J,901.97
2,74.83,,86.32,211 kWh,"1,222.98",10-02-2017,13-03-2017,9.71,,,-413.37,,T-J,980.47
3,74.52,,85.96,160 kWh,866.21,13-01-2017,10-02-2017,6.15,,,-412.07,,T-J,620.77
4,74.24,,85.64,175 kWh,964.76,14-12-2016,13-01-2017,7.14,,,-410.49,,T-J,721.29
5,73.93,,85.29,205 kWh,"1,163.16",11-11-2016,14-12-2016,9.14,,,-408.50,,T-J,923.02
6,73.63,,84.93,185 kWh,"1,023.75",12-10-2016,11-11-2016,7.75,,,-406.88,,T-J,783.18
7,73.34,,84.60,204 kWh,"1,146.72",10-09-2016,12-10-2016,9.00,,,-405.05,,T-J,908.61
8,73.04,,84.25,171 kWh,922.05,12-08-2016,10-09-2016,6.76,,,-403.66,,T-J,682.44
9,72.75,0.71,28.80,142 kWh,705.71,12-07-2016,12-08-2016,2.10,-13.98,-9.04,-376.27,-198.40,T-J,212.38
10,73.20,,83.56,189 kWh,999.51,11-06-2016,12-07-2016,7.52,,,-404.47,,T-J,759.32
11,72.90,,83.22,169 kWh,862.30,12-05-2016,11-06-2016,6.15,,,-402.98,,T-J,621.59
