,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,IVA,Regulacion INE,Tarifa:,Total
0,102.06,5.94,142.14,428 kWh,"3,063.04",11-04-2017,12-05-2017,501.05,33.07,T-1,"3,847.30"
1,101.64,,141.55,351 kWh,"2,501.71",13-03-2017,11-04-2017,415.85,27.45,T-1,"3,188.20"
2,101.24,2.13,140.98,326 kWh,"2,314.43",10-02-2017,13-03-2017,387.33,25.57,T-1,"2,971.68"
3,100.82,,140.40,244 kWh,"1,725.09",13-01-2017,10-02-2017,297.90,19.66,T-1,"2,283.87"
4,100.44,222.95,139.87,289 kWh,"2,035.52",12-12-2016,13-01-2017,373.56,22.76,T-1,"2,895.10"
5,100.03,,139.29,323 kWh,"2,265.23",09-11-2016,12-12-2016,379.44,25.05,T-1,"2,909.04"
6,99.61,23.85,138.72,309 kWh,"2,157.72",10-10-2016,09-11-2016,363.00,23.96,T-1,"2,806.86"
7,99.21,,138.17,341 kWh,"2,371.59",08-09-2016,10-10-2016,395.26,26.09,T-1,"3,030.32"
8,98.81,10.00,137.60,315 kWh,"2,181.51",09-08-2016,08-09-2016,366.32,24.18,T-1,"2,818.42"
9,98.41,2.68,137.05,346 kWh,"2,405.15",09-07-2016,09-08-2016,400.05,26.41,T-1,"3,069.75"
10,99.03,2.94,136.48,323 kWh,"2,242.08",09-06-2016,09-07-2016,375.36,24.78,T-1,"2,880.67"
11,98.62,,135.92,359 kWh,"2,481.99",10-05-2016,09-06-2016,411.56,27.17,T-1,"3,155.26"
