,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,Regulacion INE,Tarifa:,Total
0,78.07,,85.55,239 kWh,"1,496.77",10-07-2017,09-08-2017,16.60,T-0,"1,676.99"
1,77.75,,85.20,247 kWh,"1,547.44",09-06-2017,10-07-2017,17.10,T-0,"1,727.49"
2,77.42,2.80,84.85,256 kWh,"1,580.22",10-05-2017,09-06-2017,17.42,T-0,"1,762.71"
3,75.45,,87.02,294 kWh,"1,824.97",08-04-2017,10-05-2017,19.87,T-0,"2,007.31"
4,75.13,,86.66,240 kWh,"1,447.25",10-03-2017,08-04-2017,16.09,T-0,"1,625.13"
5,74.83,,86.32,239 kWh,"1,434.89",08-02-2017,10-03-2017,15.96,T-0,"1,612.00"
6,74.52,,85.96,215 kWh,"1,265.89",11-01-2017,08-02-2017,14.26,T-0,"1,440.63"
7,74.24,,85.64,221 kWh,"1,301.84",11-12-2016,11-01-2017,14.62,T-0,"1,476.34"
8,73.93,,85.29,232 kWh,"1,370.60",09-11-2016,11-12-2016,15.30,T-0,"1,545.12"
9,73.63,,84.93,221 kWh,"1,290.92",10-10-2016,09-11-2016,14.49,T-0,"1,463.97"
10,73.34,,84.60,254 kWh,"1,506.47",08-09-2016,10-10-2016,16.64,T-0,"1,681.05"
11,73.04,,84.25,228 kWh,"1,326.89",09-08-2016,08-09-2016,14.84,T-0,"1,499.02"
