,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,IVA,Regulacion INE,Tarifa:,Total
0,78.39,278.20,85.90,224 kWh,"1,395.44",09-08-2017,08-09-2017,,15.60,T-0,"1,853.53"
1,78.07,,85.55,213 kWh,"1,311.64",10-07-2017,09-08-2017,,14.75,T-0,"1,490.01"
2,77.75,,85.20,254 kWh,"1,597.08",09-06-2017,10-07-2017,,17.60,T-0,"1,777.63"
3,77.42,221.32,84.85,243 kWh,"1,489.97",10-05-2017,09-06-2017,,16.52,T-0,"1,890.08"
4,75.45,281.84,87.02,244 kWh,"1,480.92",08-04-2017,10-05-2017,,16.43,T-0,"1,941.66"
5,75.13,,86.66,192 kWh,"1,118.33",10-03-2017,08-04-2017,,12.80,T-0,"1,292.92"
6,74.83,152.83,86.32,177 kWh,"1,011.72",08-02-2017,10-03-2017,,11.73,T-0,"1,337.43"
7,74.52,,85.96,223 kWh,"1,320.27",11-01-2017,08-02-2017,,14.81,T-0,"1,495.56"
8,74.24,,85.64,284 kWh,"1,728.56",11-12-2016,11-01-2017,,18.88,T-0,"1,907.32"
9,73.93,85.67,85.29,342 kWh,"2,112.53",09-11-2016,11-12-2016,147.88,22.72,T-0,"2,528.02"
10,73.63,,84.93,331 kWh,"2,029.69",10-10-2016,09-11-2016,142.08,21.88,T-0,"2,352.21"
11,73.34,13.10,84.60,379 kWh,"2,342.63",08-09-2016,10-10-2016,163.98,25.01,T-0,"2,702.66"
