,Alumbrado Publico,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,Regulacion INE,Subsidio Alumb. P�blico menor 150 kWh,Subsidio Comercializacion menor 150 kWh,Subsidio consumo menor 150 kWh,Tarifa:,Total
0,79.68,29.97,135 kWh,766.01,16-12-2017,20-01-2018,4.46,-16.71,-8.79,-404.58,T-0,450.04
1,79.36,29.85,145 kWh,839.70,14-11-2017,20-01-2018,4.80,-16.64,-8.76,-443.52,T-0,484.79
4,79.68,87.32,184 kWh,"1,129.18",16-12-2017,15-01-2018,12.96,,,,T-0,"1,309.14"
5,21.17,29.85,96 kWh,470.63,14-11-2017,16-12-2017,2.60,-4.44,-8.76,-248.58,T-0,262.47
6,79.03,29.72,141 kWh,805.49,14-10-2017,14-11-2017,4.64,-16.57,-8.72,-425.44,T-0,468.15
7,78.71,29.60,137 kWh,771.72,13-09-2017,14-10-2017,4.47,-16.50,-8.68,-407.61,T-0,451.71
8,78.39,29.48,109 kWh,556.04,15-08-2017,13-09-2017,3.45,-16.43,-8.65,-293.69,T-0,348.59
9,78.07,29.36,128 kWh,697.50,14-07-2017,15-08-2017,4.12,-16.37,-8.61,-368.40,T-0,415.67
10,77.75,29.24,119 kWh,626.85,14-06-2017,14-07-2017,3.78,-16.30,-8.58,-331.07,T-0,381.67
11,77.42,29.12,127 kWh,677.27,15-05-2017,14-06-2017,4.02,-16.23,-8.54,-357.39,T-0,405.67
12,75.45,29.87,129 kWh,681.40,15-04-2017,15-05-2017,4.04,-14.50,-9.37,-359.23,T-0,407.66
13,75.13,29.75,139 kWh,751.37,15-03-2017,15-04-2017,4.36,-14.44,-9.33,-396.09,T-0,440.75
14,74.83,29.63,129 kWh,675.83,12-02-2017,15-03-2017,4.00,-14.38,-9.30,-356.28,T-0,404.33
15,74.52,29.50,112 kWh,550.34,15-01-2017,12-02-2017,3.41,-14.32,-9.26,-290.12,T-0,344.07
