,Alumbrado Publico,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,Regulacion INE,Subsidio Alumb. P�blico menor 150 kWh,Subsidio Comercializacion menor 150 kWh,Subsidio consumo menor 150 kWh,Tarifa:,Total
0,79.36,29.85,116 kWh,616.37,08-11-2017,11-12-2017,3.75,-16.64,-8.76,-325.55,T-0,378.38
1,21.08,29.72,100 kWh,491.30,09-10-2017,08-11-2017,2.69,-4.42,-8.72,-259.51,T-0,272.14
2,78.71,29.60,103 kWh,512.21,07-09-2017,09-10-2017,3.25,-16.50,-8.68,-270.54,T-0,328.05
3,20.91,29.48,92 kWh,441.36,08-08-2017,07-09-2017,2.46,-4.38,-8.65,-233.12,T-0,248.06
4,20.83,29.36,93 kWh,445.34,08-07-2017,08-08-2017,2.47,-4.37,-8.61,-235.22,T-0,249.80
5,77.75,29.24,105 kWh,520.92,08-06-2017,08-07-2017,3.28,-16.30,-8.58,-275.13,T-0,331.18
6,77.42,29.12,115 kWh,584.82,09-05-2017,08-06-2017,3.58,-16.23,-8.54,-308.48,T-0,361.69
7,75.45,29.87,146 kWh,804.80,07-04-2017,09-05-2017,4.62,-14.50,-9.37,-424.28,T-0,466.59
8,75.13,29.75,129 kWh,677.90,09-03-2017,07-04-2017,4.02,-14.44,-9.33,-357.37,T-0,405.66
9,74.83,29.63,107 kWh,515.97,07-02-2017,09-03-2017,3.25,-14.38,-9.30,-272.01,T-0,327.99
10,19.88,29.50,98 kWh,452.47,10-01-2017,07-02-2017,2.50,-3.82,-9.26,-238.53,T-0,252.74
11,74.24,29.39,118 kWh,591.01,10-12-2016,10-01-2017,3.60,-14.26,-9.22,-311.56,T-0,363.20
