,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,Regulacion INE,Subsidio Alumb. P�blico menor 150 kWh,Subsidio Comercializacion menor 150 kWh,Subsidio a Jubilados con consumo menor 150kWh,Subsidio consumo menor 150 kWh,Tarifa:,Total
0,79.03,,29.72,115 kWh,606.45,13-10-2017,13-11-2017,2.27,-16.57,-8.72,-303.23,-160.16,T-J,228.79
1,78.71,,29.60,114 kWh,596.36,12-09-2017,13-10-2017,2.24,-16.50,-8.68,-298.18,-157.50,T-J,226.05
2,78.39,,29.48,125 kWh,677.38,14-08-2017,12-09-2017,2.43,-16.43,-8.65,-338.70,-178.89,T-J,245.01
3,78.07,,29.36,105 kWh,523.55,13-07-2017,14-08-2017,2.06,-16.37,-8.61,-261.77,-138.26,T-J,208.03
4,20.74,,29.24,85 kWh,398.32,13-06-2017,13-07-2017,1.31,-4.35,-8.58,-199.15,-105.19,T-J,132.34
5,20.65,,29.12,89 kWh,414.44,13-05-2017,13-06-2017,1.35,-4.33,-8.54,-207.22,-109.33,T-J,136.14
6,20.13,1.77,29.87,89 kWh,408.58,12-04-2017,13-05-2017,1.33,-3.87,-9.37,-204.30,-107.71,T-J,136.43
7,75.13,,86.66,157 kWh,879.18,14-03-2017,12-04-2017,6.25,,,-415.54,,T-J,631.68
8,74.83,,86.32,154 kWh,842.44,11-02-2017,14-03-2017,3.40,-14.38,-9.30,-413.93,-225.88,T-J,343.50
9,74.52,,29.50,135 kWh,693.54,14-01-2017,11-02-2017,2.27,-14.32,-9.26,-358.10,-188.79,T-J,229.36
10,74.24,,85.64,217 kWh,"1,249.50",15-12-2016,14-01-2017,9.99,,,-410.22,,T-J,"1,009.15"
11,73.93,,29.27,130 kWh,653.47,12-11-2016,15-12-2016,2.18,-14.21,-9.19,-337.42,-177.89,T-J,220.14
