,Alumbrado Publico,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,IVA,Regulacion INE,Tarifa:,Total
0,102.06,142.14,523 kWh,"3,742.43",10-04-2017,11-05-2017,603.98,39.87,T-1,"4,630.48"
1,101.64,141.55,500 kWh,"3,563.05",11-03-2017,10-04-2017,576.65,38.06,T-1,"4,420.95"
2,101.24,140.98,460 kWh,"3,265.02",09-02-2017,11-03-2017,531.35,35.07,T-1,"4,073.66"
3,100.82,140.40,492 kWh,"3,478.04",12-01-2017,09-02-2017,563.47,37.19,T-1,"4,319.92"
4,100.44,139.87,554 kWh,"3,901.50",11-12-2016,12-01-2017,627.48,41.42,T-1,"4,810.71"
5,100.03,139.29,661 kWh,"4,635.25",09-11-2016,11-12-2016,738.50,48.75,T-1,"5,661.82"
6,99.61,138.72,614 kWh,"4,287.54",10-10-2016,09-11-2016,685.67,45.26,T-1,"5,256.80"
7,99.21,138.17,652 kWh,"4,534.52",08-09-2016,10-10-2016,722.94,47.72,T-1,"5,542.56"
8,98.81,137.60,631 kWh,"4,369.96",09-08-2016,08-09-2016,697.86,46.06,T-1,"5,350.29"
9,98.41,137.05,689 kWh,"4,789.42",09-07-2016,09-08-2016,761.27,50.25,T-1,"5,836.40"
10,99.03,136.48,684 kWh,"4,747.95",09-06-2016,09-07-2016,754.99,49.83,T-1,"5,788.28"
11,98.62,135.92,723 kWh,"4,998.51",10-05-2016,09-06-2016,792.81,52.33,T-1,"6,078.19"
