,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,IVA,Regulacion INE,Tarifa:,Total
0,106.91,,141.44,388 kWh,"2,908.61",12-10-2017,11-11-2017,478.28,31.57,T-1,"3,666.81"
1,106.48,1.59,140.87,340 kWh,"2,538.60",11-09-2017,12-10-2017,422.07,27.86,T-1,"3,237.47"
2,106.04,1.55,140.29,363 kWh,"2,699.12",12-08-2017,11-09-2017,446.24,29.45,T-1,"3,422.69"
3,105.62,,139.73,353 kWh,"2,614.24",12-07-2017,12-08-2017,433.23,28.60,T-1,"3,321.42"
4,105.18,,139.15,440 kWh,"3,245.14",12-06-2017,12-07-2017,528.65,34.89,T-1,"4,053.01"
5,104.74,2.68,138.58,582 kWh,"4,215.28",12-05-2017,12-06-2017,675.48,44.59,T-1,"5,181.35"
6,102.06,2.39,142.14,658 kWh,"4,709.05",11-04-2017,12-05-2017,750.42,49.53,T-1,"5,755.59"
7,101.64,4.41,141.55,585 kWh,"4,169.51",13-03-2017,11-04-2017,668.52,44.13,T-1,"5,129.76"
8,101.24,,140.98,540 kWh,"3,833.72",10-02-2017,13-03-2017,617.51,40.76,T-1,"4,734.21"
9,100.82,,140.40,432 kWh,"3,054.29",13-01-2017,10-02-2017,499.27,32.96,T-1,"3,827.74"
10,100.44,,139.87,469 kWh,"3,303.69",14-12-2016,13-01-2017,536.92,35.44,T-1,"4,116.36"
11,100.03,,139.29,584 kWh,"4,096.66",11-11-2016,14-12-2016,656.90,43.36,T-1,"5,036.24"
