,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,IVA,Regulacion INE,Tarifa:,Total
0,26.08,,29.97,67 kWh,324.51,13-12-2017,13-01-2018,57.66,3.81,T-1,442.03
1,29.46,,29.85,76 kWh,366.55,11-11-2017,13-12-2017,64.52,4.26,T-1,494.64
2,106.91,,141.44,185 kWh,"1,386.85",12-10-2017,11-11-2017,247.73,16.35,T-1,"1,899.28"
3,106.48,,140.87,216 kWh,"1,612.76",11-09-2017,12-10-2017,281.81,18.60,T-1,"2,160.52"
4,106.04,601.97,140.29,454 kWh,"3,375.74",12-08-2017,11-09-2017,548.74,36.22,T-1,"4,809.00"
5,105.62,,139.73,375 kWh,"2,777.17",12-07-2017,12-08-2017,457.91,30.23,T-1,"3,510.66"
6,105.18,,139.15,357 kWh,"2,632.99",12-06-2017,12-07-2017,435.91,28.77,T-1,"3,342.00"
7,104.74,,138.58,242 kWh,"1,752.72",12-05-2017,12-06-2017,302.40,19.96,T-1,"2,318.40"
8,102.06,,142.14,362 kWh,"2,590.69",11-04-2017,12-05-2017,429.49,28.35,T-1,"3,292.73"
9,101.64,202.93,141.55,501 kWh,"3,570.82",13-03-2017,11-04-2017,608.26,38.14,T-1,"4,663.34"
10,101.24,,140.98,591 kWh,"4,195.80",10-02-2017,13-03-2017,672.36,44.38,T-1,"5,154.76"
11,100.82,,140.40,558 kWh,"3,945.12",13-01-2017,10-02-2017,634.23,41.86,T-1,"4,862.43"
