,Alumbrado Publico,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,Regulacion INE,Subsidio a Jubilados con consumo menor 150kWh,Tarifa:,Total
0,79.68,87.32,244 kWh,"1,565.41",15-12-2017,15-01-2018,12.92,-440.10,T-J,"1,305.23"
1,79.36,86.96,252 kWh,"1,616.88",14-11-2017,15-12-2017,13.45,-438.22,T-J,"1,358.43"
2,79.03,86.60,269 kWh,"1,732.64",14-10-2017,14-11-2017,14.62,-436.27,T-J,"1,476.62"
3,78.71,86.25,284 kWh,"1,833.34",13-09-2017,14-10-2017,15.64,-434.46,T-J,"1,579.48"
4,78.39,85.90,246 kWh,"1,554.01",15-08-2017,13-09-2017,12.85,-432.82,T-J,"1,298.33"
5,78.07,85.55,269 kWh,"1,711.73",14-07-2017,15-08-2017,14.44,-430.95,T-J,"1,458.84"
6,77.75,85.20,250 kWh,"1,569.78",14-06-2017,14-07-2017,13.03,-429.26,T-J,"1,316.50"
7,77.42,84.85,251 kWh,"1,553.22",15-05-2017,14-06-2017,12.97,-418.94,T-J,"1,309.52"
8,75.45,87.02,263 kWh,"1,613.05",15-04-2017,15-05-2017,13.59,-416.59,T-J,"1,372.52"
9,75.13,86.66,278 kWh,"1,709.26",15-03-2017,15-04-2017,14.56,-414.78,T-J,"1,470.83"
10,74.83,86.32,264 kWh,"1,581.66",12-02-2017,15-03-2017,13.30,-413.13,T-J,"1,342.98"
11,74.52,85.96,232 kWh,"1,356.22",15-01-2017,12-02-2017,11.05,-411.64,T-J,"1,116.11"
