,Alumbrado Publico,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,Regulacion INE,Subsidio Alumb. P�blico menor 150 kWh,Subsidio Comercializacion menor 150 kWh,Subsidio consumo menor 150 kWh,Tarifa:,Total
0,78.71,29.60,115 kWh,604.07,13-09-2017,14-10-2017,3.68,-16.50,-8.68,-319.06,T-0,371.82
1,78.39,85.90,181 kWh,"1,089.08",15-08-2017,13-09-2017,12.53,,,,T-0,"1,265.90"
2,78.07,29.36,131 kWh,720.17,14-07-2017,15-08-2017,4.22,-16.37,-8.61,-380.38,T-0,426.46
3,77.75,29.24,134 kWh,739.75,14-06-2017,14-07-2017,4.31,-16.30,-8.58,-390.72,T-0,435.45
4,20.65,29.12,84 kWh,387.03,15-05-2017,14-06-2017,2.20,-4.33,-8.54,-204.24,T-0,221.89
5,75.45,87.02,207 kWh,"1,227.48",15-04-2017,15-05-2017,13.90,,,,T-0,"1,403.85"
6,75.13,86.66,155 kWh,865.71,15-03-2017,15-04-2017,5.46,-14.44,-9.33,-457.47,T-0,551.72
7,74.83,86.32,175 kWh,998.84,12-02-2017,15-03-2017,11.60,,,,T-0,"1,171.59"
8,74.52,29.50,137 kWh,730.76,15-01-2017,12-02-2017,4.26,-14.32,-9.26,-385.22,T-0,430.24
9,74.24,29.39,118 kWh,591.44,15-12-2016,15-01-2017,3.60,-14.26,-9.22,-311.79,T-0,363.40
10,73.93,29.27,145 kWh,782.22,12-11-2016,15-12-2016,4.50,-14.21,-9.19,-412.38,T-0,454.14
11,73.63,84.93,166 kWh,922.05,13-10-2016,12-11-2016,10.81,,,,T-0,"1,091.42"
