,Alumbrado Publico,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,Regulacion INE,Subsidio Alumb. P�blico menor 150 kWh,Subsidio Comercializacion menor 150 kWh,Subsidio consumo menor 150 kWh,Tarifa:,Total
0,21.26,29.97,89 kWh,431.59,14-12-2017,13-01-2018,2.42,-4.46,-8.79,-227.96,T-0,244.03
1,79.36,29.85,111 kWh,578.22,11-11-2017,14-12-2017,3.57,-16.64,-8.76,-305.40,T-0,360.20
2,21.08,29.72,82 kWh,387.41,12-10-2017,11-11-2017,2.20,-4.42,-8.72,-204.63,T-0,222.64
3,21.00,29.60,70 kWh,316.73,11-09-2017,12-10-2017,1.87,-4.40,-8.68,-167.30,T-0,188.82
4,20.91,29.48,69 kWh,309.67,12-08-2017,11-09-2017,1.83,-4.38,-8.65,-163.57,T-0,185.29
5,20.83,29.36,73 kWh,331.31,12-07-2017,12-08-2017,1.94,-4.37,-8.61,-174.99,T-0,195.47
6,20.74,29.24,79 kWh,364.11,12-06-2017,12-07-2017,2.09,-4.35,-8.58,-192.31,T-0,210.94
7,77.42,29.12,115 kWh,586.85,12-05-2017,12-06-2017,3.59,-16.23,-8.54,-309.63,T-0,362.58
8,75.45,87.02,170 kWh,972.11,11-04-2017,12-05-2017,11.35,,,,T-0,"1,145.93"
9,75.13,86.66,151 kWh,837.89,13-03-2017,11-04-2017,10.00,,,,T-0,"1,009.68"
10,74.83,29.63,146 kWh,798.82,10-02-2017,13-03-2017,4.58,-14.38,-9.30,-421.12,T-0,463.06
11,74.52,29.50,112 kWh,550.18,13-01-2017,10-02-2017,3.41,-14.32,-9.26,-290.03,T-0,344.00
