,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,IVA,Regulacion INE,Subsidio a Jubilados con consumo menor 150kWh,Tarifa:,Total
0,78.07,,85.55,399 kWh,"2,637.05",12-07-2017,12-08-2017,154.43,23.70,-430.95,T-J,"2,547.85"
1,77.75,,85.20,409 kWh,"2,697.15",12-06-2017,12-07-2017,158.76,24.31,-429.13,T-J,"2,614.04"
2,77.42,,84.85,360 kWh,"2,308.87",12-05-2017,12-06-2017,132.35,20.53,-418.17,T-J,"2,205.85"
3,75.45,,87.02,360 kWh,"2,279.88",11-04-2017,12-05-2017,130.44,20.26,-416.45,T-J,"2,176.60"
4,75.13,,86.66,352 kWh,"2,215.70",13-03-2017,11-04-2017,126.06,19.63,-414.78,T-J,"2,108.40"
5,74.83,,86.32,362 kWh,"2,249.18",10-02-2017,13-03-2017,128.53,19.97,-413.06,T-J,"2,145.77"
6,74.52,,85.96,316 kWh,"1,927.00",13-01-2017,10-02-2017,106.08,16.76,-411.52,T-J,"1,798.80"
7,74.24,,85.64,340 kWh,"2,082.61",14-12-2016,13-01-2017,117.10,18.33,-409.82,T-J,"1,968.10"
8,73.93,,85.29,435 kWh,"2,714.91",11-11-2016,14-12-2016,161.48,24.66,-408.12,T-J,"2,652.15"
9,73.63,7.48,84.93,441 kWh,"2,743.39",11-10-2016,11-11-2016,163.58,24.95,-406.49,T-J,"2,691.47"
10,191.04,1.17,157.35,582 kWh,"3,999.01",09-09-2016,11-10-2016,251.59,39.43,-404.82,T-J,"4,234.77"
11,73.04,2.18,84.25,420 kWh,"2,580.72",11-08-2016,09-09-2016,152.43,23.35,-403.20,T-J,"2,512.77"
