,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,Regulacion INE,Subsidio Alumb. P�blico menor 150 kWh,Subsidio Comercializacion menor 150 kWh,Subsidio consumo menor 150 kWh,Tarifa:,Total
0,21.26,,29.97,99 kWh,489.81,12-12-2017,12-01-2018,2.69,-4.46,-8.79,-258.71,T-0,271.77
1,79.36,,29.85,114 kWh,601.15,11-11-2017,12-12-2017,3.67,-16.64,-8.76,-317.52,T-0,371.11
2,79.03,,29.72,110 kWh,568.06,12-10-2017,11-11-2017,3.51,-16.57,-8.72,-300.04,T-0,354.99
3,78.71,,29.60,117 kWh,619.14,11-09-2017,12-10-2017,3.75,-16.50,-8.68,-327.03,T-0,378.99
4,78.39,,29.48,133 kWh,737.96,12-08-2017,11-09-2017,4.31,-16.43,-8.65,-389.78,T-0,435.28
5,78.07,,29.36,147 kWh,840.84,12-07-2017,12-08-2017,4.79,-16.37,-8.61,-444.11,T-0,483.97
6,77.75,3.98,85.20,160 kWh,930.94,12-06-2017,12-07-2017,10.94,,,,T-0,"1,108.81"
7,77.42,195.70,29.12,128 kWh,683.18,12-05-2017,12-06-2017,4.05,-16.23,-8.54,-360.44,T-0,604.26
8,75.45,,29.87,135 kWh,724.90,11-04-2017,12-05-2017,4.24,-14.50,-9.37,-382.16,T-0,428.43
9,75.13,,29.75,128 kWh,671.02,13-03-2017,11-04-2017,3.98,-14.44,-9.33,-353.75,T-0,402.36
10,74.83,,29.63,132 kWh,697.38,10-02-2017,13-03-2017,4.11,-14.38,-9.30,-367.63,T-0,414.64
11,19.88,,29.50,96 kWh,441.77,13-01-2017,10-02-2017,2.45,-3.82,-9.26,-232.88,T-0,247.64
