,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,Regulacion INE,Subsidio Alumb. P�blico menor 150 kWh,Subsidio Comercializacion menor 150 kWh,Subsidio consumo menor 150 kWh,Tarifa:,Total
0,17.39,0.07,29.97,44 kWh,170.57,12-12-2017,12-01-2018,1.15,-3.65,-8.79,-90.09,T-0,116.62
1,21.17,0.40,29.85,53 kWh,220.54,10-11-2017,12-12-2017,1.42,-4.44,-8.76,-116.49,T-0,143.69
2,21.08,0.24,29.72,64 kWh,283.23,11-10-2017,10-11-2017,1.71,-4.42,-8.72,-149.60,T-0,173.24
3,21.00,0.35,29.60,63 kWh,276.34,09-09-2017,11-10-2017,1.68,-4.40,-8.68,-145.96,T-0,169.93
4,20.91,,29.48,56 kWh,234.99,11-08-2017,09-09-2017,1.48,-4.38,-8.65,-124.11,T-0,149.72
5,20.83,,29.36,62 kWh,268.39,11-07-2017,11-08-2017,1.64,-4.37,-8.61,-141.76,T-0,165.48
6,20.74,193.31,29.24,78 kWh,358.34,10-06-2017,11-07-2017,2.06,-4.35,-8.58,-189.25,T-0,401.51
7,20.65,,29.12,95 kWh,446.80,11-05-2017,10-06-2017,2.48,-4.33,-8.54,-235.70,T-0,250.48
8,20.13,,29.87,94 kWh,436.06,10-04-2017,11-05-2017,2.43,-3.87,-9.37,-229.89,T-0,245.36
9,20.04,0.67,29.75,61 kWh,252.78,11-03-2017,10-04-2017,1.56,-3.85,-9.33,-133.25,T-0,158.37
10,19.96,,29.63,56 kWh,224.41,09-02-2017,11-03-2017,1.43,-3.84,-9.30,-118.30,T-0,143.99
11,16.27,0.58,29.50,50 kWh,190.74,12-01-2017,09-02-2017,1.24,-3.13,-9.26,-100.54,T-0,125.40
