,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,Regulacion INE,Subsidio Alumb. P�blico menor 150 kWh,Subsidio Comercializacion menor 150 kWh,Subsidio a Jubilados con consumo menor 150kWh,Subsidio consumo menor 150 kWh,Tarifa:,Total
0,79.36,2.70,86.96,218 kWh,"1,369.90",10-11-2017,12-12-2017,10.98,,,-438.13,,T-J,"1,111.77"
1,79.03,,86.60,199 kWh,"1,227.10",11-10-2017,10-11-2017,9.56,,,-436.44,,T-J,965.85
2,78.71,0.41,86.25,213 kWh,"1,322.68",09-09-2017,11-10-2017,10.53,,,-434.52,,T-J,"1,064.06"
3,78.39,,85.90,187 kWh,"1,131.21",11-08-2017,09-09-2017,8.63,,,-432.96,,T-J,871.17
4,78.07,,85.55,174 kWh,"1,034.27",11-07-2017,11-08-2017,7.66,,,-431.45,,T-J,774.10
5,77.75,,85.20,166 kWh,973.27,10-06-2017,11-07-2017,7.07,,,-429.72,,T-J,713.57
6,77.42,0.42,84.85,168 kWh,969.97,11-05-2017,10-06-2017,7.11,,,-421.25,,T-J,718.52
7,75.45,,87.02,196 kWh,"1,150.86",10-04-2017,11-05-2017,8.97,,,-416.71,,T-J,905.59
8,75.13,,29.75,150 kWh,830.86,11-03-2017,10-04-2017,2.78,-14.44,-9.33,-415.43,-219.01,T-J,280.31
9,74.83,,29.63,136 kWh,713.03,09-02-2017,11-03-2017,2.39,-14.38,-9.30,-363.09,-191.42,T-J,241.69
10,74.52,,29.50,128 kWh,644.45,12-01-2017,09-02-2017,2.17,-14.32,-9.26,-332.76,-175.43,T-J,218.87
11,74.24,,29.39,127 kWh,635.06,11-12-2016,12-01-2017,2.14,-14.26,-9.22,-327.93,-172.88,T-J,216.54
