,Alumbrado Publico,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,Regulacion INE,Subsidio Alumb. P�blico menor 150 kWh,Subsidio Comercializacion menor 150 kWh,Subsidio consumo menor 150 kWh,Tarifa:,Total
0,77.75,29.24,132 kWh,723.66,05-06-2017,05-07-2017,4.24,-16.30,-8.58,-382.20,T-0,427.81
1,77.42,29.12,136 kWh,737.34,05-05-2017,05-06-2017,4.30,-16.23,-8.54,-388.83,T-0,434.58
2,75.45,29.87,146 kWh,804.29,04-04-2017,05-05-2017,4.62,-14.50,-9.37,-424.01,T-0,466.35
3,75.13,29.75,120 kWh,612.13,06-03-2017,04-04-2017,3.71,-14.44,-9.33,-322.70,T-0,374.25
4,74.83,29.63,126 kWh,653.23,03-02-2017,06-03-2017,3.90,-14.38,-9.30,-344.36,T-0,393.55
5,19.88,29.50,99 kWh,457.64,06-01-2017,03-02-2017,2.53,-3.82,-9.26,-241.25,T-0,255.22
6,74.24,29.39,140 kWh,748.57,05-12-2016,06-01-2017,4.34,-14.26,-9.22,-394.63,T-0,438.43
7,73.93,29.27,136 kWh,716.78,04-11-2016,05-12-2016,4.19,-14.21,-9.19,-377.88,T-0,422.89
8,73.63,29.15,135 kWh,706.64,05-10-2016,04-11-2016,4.14,-14.15,-9.15,-372.53,T-0,417.73
9,73.34,84.60,169 kWh,937.18,03-09-2016,05-10-2016,10.95,,,,T-0,"1,106.07"
10,73.04,28.91,147 kWh,785.52,04-08-2016,03-09-2016,4.50,-14.03,-9.07,-414.11,T-0,454.76
11,72.75,28.80,148 kWh,796.62,05-07-2016,04-08-2016,4.55,-13.98,-9.04,-420.06,T-0,459.64
