,Alumbrado Publico,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,Regulacion INE,Subsidio Alumb. P�blico menor 150 kWh,Subsidio Comercializacion menor 150 kWh,Subsidio consumo menor 150 kWh,Tarifa:,Total
0,79.03,29.72,150 kWh,874.07,12-10-2017,18-11-2017,4.96,-16.57,-8.72,-461.67,T-0,500.82
2,79.03,86.60,155 kWh,910.13,12-10-2017,11-11-2017,10.76,,,,T-0,"1,086.52"
3,78.71,29.60,146 kWh,840.11,11-09-2017,12-10-2017,4.80,-16.50,-8.68,-443.73,T-0,484.31
4,78.39,29.48,136 kWh,760.72,12-08-2017,11-09-2017,4.42,-16.43,-8.65,-401.80,T-0,446.13
5,78.07,29.36,140 kWh,787.94,12-07-2017,12-08-2017,4.54,-16.37,-8.61,-416.18,T-0,458.75
6,77.75,29.24,148 kWh,844.91,12-06-2017,12-07-2017,4.81,-16.30,-8.58,-446.24,T-0,485.59
7,77.42,29.12,138 kWh,757.41,12-05-2017,12-06-2017,4.40,-16.23,-8.54,-399.63,T-0,443.95
8,75.45,29.87,148 kWh,819.86,11-04-2017,12-05-2017,4.69,-14.50,-9.37,-432.21,T-0,473.79
9,75.13,29.75,133 kWh,707.39,13-03-2017,11-04-2017,4.16,-14.44,-9.33,-372.91,T-0,419.75
10,74.83,29.63,132 kWh,697.38,10-02-2017,13-03-2017,4.11,-14.38,-9.30,-367.63,T-0,414.64
11,74.52,29.50,117 kWh,586.26,13-01-2017,10-02-2017,3.58,-14.32,-9.26,-309.06,T-0,361.22
12,74.24,29.39,126 kWh,648.80,14-12-2016,13-01-2017,3.87,-14.26,-9.22,-342.03,T-0,390.79
13,73.93,85.29,151 kWh,824.68,11-11-2016,14-12-2016,5.26,-14.21,-9.19,-434.96,T-0,530.80
