,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,Regulacion INE,Subsidio Comercializacion menor 150 kWh,Subsidio consumo menor 150 kWh,Tarifa:,Total
0,29.24,128 kWh,694.38,12-06-2017,12-07-2017,3.48,-8.58,-366.75,T-0,351.77
1,29.12,133 kWh,720.29,12-05-2017,12-06-2017,3.61,-8.54,-380.04,T-0,364.44
2,29.87,138 kWh,746.81,11-04-2017,12-05-2017,3.74,-9.37,-393.70,T-0,377.35
3,29.75,121 kWh,620.11,13-03-2017,11-04-2017,3.14,-9.33,-326.90,T-0,316.77
4,29.63,121 kWh,617.70,10-02-2017,13-03-2017,3.12,-9.30,-325.63,T-0,315.52
5,29.50,106 kWh,506.88,13-01-2017,10-02-2017,2.60,-9.26,-267.21,T-0,262.51
6,29.39,111 kWh,540.97,14-12-2016,13-01-2017,2.76,-9.22,-285.19,T-0,278.71
7,29.27,127 kWh,653.27,11-11-2016,14-12-2016,3.29,-9.19,-344.39,T-0,332.25
8,29.15,125 kWh,636.17,11-10-2016,11-11-2016,3.21,-9.15,-335.37,T-0,324.01
9,29.03,132 kWh,683.25,09-09-2016,11-10-2016,3.43,-9.11,-360.19,T-0,346.41
10,28.91,126 kWh,637.99,11-08-2016,09-09-2016,3.22,-9.07,-336.32,T-0,324.73
11,28.80,120 kWh,596.93,11-07-2016,11-08-2016,3.02,-9.04,-314.74,T-0,304.97
