,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,Regulacion INE,Tarifa:,Total
0,79.03,,86.60,187 kWh,"1,142.34",21-10-2017,21-11-2017,13.08,T-0,"1,321.05"
1,78.71,19.89,86.25,216 kWh,"1,346.40",21-09-2017,21-10-2017,15.11,T-0,"1,546.36"
2,78.39,15.53,85.90,257 kWh,"1,634.54",22-08-2017,21-09-2017,17.99,T-0,"1,832.35"
3,78.07,27.10,85.55,267 kWh,"1,699.37",22-07-2017,22-08-2017,18.63,T-0,"1,908.72"
4,77.75,17.52,85.20,264 kWh,"1,671.02",21-06-2017,22-07-2017,18.34,T-0,"1,869.83"
5,77.42,22.40,84.85,246 kWh,"1,528.49",22-05-2017,21-06-2017,16.91,T-0,"1,730.07"
6,75.45,,87.02,216 kWh,"1,290.58",21-04-2017,22-05-2017,14.53,T-0,"1,467.58"
7,75.13,19.38,86.66,212 kWh,"1,257.77",22-03-2017,21-04-2017,14.20,T-0,"1,453.14"
8,74.83,7.50,86.32,200 kWh,"1,170.59",18-02-2017,22-03-2017,13.32,T-0,"1,352.56"
9,74.52,10.62,85.96,169 kWh,954.60,21-01-2017,18-02-2017,11.15,T-0,"1,136.85"
10,74.24,12.35,85.64,173 kWh,978.27,22-12-2016,21-01-2017,11.38,T-0,"1,161.88"
11,73.93,12.80,85.29,228 kWh,"1,345.66",19-11-2016,22-12-2016,15.05,T-0,"1,532.73"
