,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,Regulacion INE,Subsidio Alumb. P�blico menor 150 kWh,Subsidio Comercializacion menor 150 kWh,Subsidio consumo menor 150 kWh,Tarifa:,Total
0,78.39,7.12,85.90,177 kWh,"1,062.29",28-08-2017,27-09-2017,12.27,,,,T-0,"1,245.97"
1,78.07,6.63,85.55,160 kWh,936.65,28-07-2017,28-08-2017,11.00,,,,T-0,"1,117.90"
2,77.75,,85.20,158 kWh,918.57,27-06-2017,28-07-2017,10.82,,,,T-0,"1,092.34"
3,77.42,,84.85,172 kWh,"1,012.62",28-05-2017,27-06-2017,11.75,,,,T-0,"1,186.64"
4,75.45,,29.87,147 kWh,814.19,27-04-2017,28-05-2017,4.66,-14.50,-9.37,-429.21,T-0,471.09
5,75.13,4.35,29.75,129 kWh,679.64,28-03-2017,27-04-2017,4.02,-14.44,-9.33,-358.31,T-0,410.81
6,74.83,,29.63,110 kWh,539.05,25-02-2017,28-03-2017,3.36,-14.38,-9.30,-284.18,T-0,339.01
7,74.52,,29.50,148 kWh,811.46,28-01-2017,03-03-2017,9.15,,,,T-0,924.63
9,11.87,,29.50,,,28-01-2017,25-02-2017,0.41,,,,T-0,41.78
10,12.63,206.16,29.39,1 kWh,2.41,28-12-2016,28-01-2017,0.32,-2.43,-9.22,-1.27,T-0,237.99
11,73.93,,29.27,125 kWh,640.12,26-11-2016,28-12-2016,3.82,-14.21,-9.19,-337.45,T-0,386.29
12,73.63,1.95,84.93,153 kWh,836.26,28-10-2016,26-11-2016,9.95,,,,T-0,"1,006.72"
13,73.34,0.48,84.60,160 kWh,879.86,27-09-2016,28-10-2016,10.38,,,,T-0,"1,048.66"
