,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,Regulacion INE,Subsidio Alumb. P�blico menor 150 kWh,Subsidio Comercializacion menor 150 kWh,Subsidio consumo menor 150 kWh,Tarifa:,Total
0,77.42,,29.12,127 kWh,675.81,12-05-2017,12-06-2017,4.01,-16.23,-8.54,-356.57,T-0,405.02
1,75.45,0.21,87.02,157 kWh,882.66,11-04-2017,12-05-2017,10.45,,,,T-0,"1,055.79"
2,75.13,,29.75,142 kWh,772.85,13-03-2017,11-04-2017,4.47,-14.44,-9.33,-407.43,T-0,451.00
3,74.83,,29.63,131 kWh,690.15,10-02-2017,13-03-2017,4.07,-14.38,-9.30,-363.83,T-0,411.17
4,19.88,,29.50,75 kWh,327.20,13-01-2017,10-02-2017,1.91,-3.82,-9.26,-172.48,T-0,192.93
5,74.24,1.96,29.39,101 kWh,469.03,11-12-2016,13-01-2017,3.02,-14.26,-9.22,-247.26,T-0,306.90
6,19.73,,29.27,52 kWh,200.05,09-11-2016,11-12-2016,1.31,-3.79,-9.19,-105.45,T-0,131.93
7,19.64,213.41,29.15,53 kWh,204.60,10-10-2016,09-11-2016,1.33,-3.77,-9.15,-107.84,T-0,347.37
8,19.57,210.58,29.03,52 kWh,198.39,08-09-2016,10-10-2016,1.30,-3.76,-9.11,-104.59,T-0,341.41
9,15.94,13.91,28.91,47 kWh,171.55,09-08-2016,08-09-2016,1.14,-3.06,-9.07,-90.43,T-0,128.89
10,15.88,198.97,28.80,50 kWh,187.38,09-07-2016,09-08-2016,1.21,-3.05,-9.04,-98.79,T-0,321.36
11,19.53,1.78,28.68,52 kWh,198.02,09-06-2016,09-07-2016,1.29,-3.92,-9.00,-104.41,T-0,131.97
