,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,IVA,Regulacion INE,Tarifa:,Total
0,79.03,2.05,86.60,429 kWh,"2,885.57",12-10-2017,11-11-2017,201.99,30.51,T-0,"3,285.75"
1,205.04,6.37,160.43,530 kWh,"3,726.45",11-09-2017,12-10-2017,260.85,40.92,T-0,"4,400.06"
2,78.39,,85.90,450 kWh,"3,012.33",12-08-2017,11-09-2017,210.86,31.77,T-0,"3,419.25"
3,78.07,1.60,85.55,454 kWh,"3,028.80",12-07-2017,12-08-2017,212.02,31.92,T-0,"3,437.96"
4,77.75,1.92,85.20,456 kWh,"3,030.55",12-06-2017,12-07-2017,212.14,31.94,T-0,"3,439.50"
5,201.69,4.22,157.81,518 kWh,"3,484.47",12-05-2017,12-06-2017,243.91,38.44,T-0,"4,130.54"
6,196.53,6.35,161.87,556 kWh,"3,856.37",11-04-2017,12-05-2017,269.95,42.15,T-0,"4,533.22"
7,75.13,1.46,86.66,467 kWh,"3,004.03",13-03-2017,11-04-2017,210.28,31.66,T-0,"3,409.22"
8,74.83,1.21,86.32,432 kWh,"2,753.33",10-02-2017,13-03-2017,192.73,29.14,T-0,"3,137.56"
9,74.52,,85.96,361 kWh,"2,259.07",13-01-2017,10-02-2017,158.13,24.20,T-0,"2,601.88"
10,74.24,4.60,85.64,374 kWh,"2,338.92",14-12-2016,13-01-2017,163.72,24.99,T-0,"2,692.11"
11,73.93,1.26,85.29,459 kWh,"2,902.70",11-11-2016,14-12-2016,203.19,30.62,T-0,"3,296.99"
