,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,Regulacion INE,Subsidio Alumb. P�blico menor 150 kWh,Subsidio Comercializacion menor 150 kWh,Subsidio consumo menor 150 kWh,Tarifa:,Total
0,79.36,3.31,29.85,119 kWh,639.56,11-11-2017,12-12-2017,3.86,-16.64,-8.76,-337.81,T-0,392.73
1,79.03,2.89,29.72,121 kWh,652.19,12-10-2017,11-11-2017,3.91,-16.57,-8.72,-344.48,T-0,397.97
2,78.71,3.46,29.60,135 kWh,756.28,11-09-2017,12-10-2017,4.40,-16.50,-8.68,-399.46,T-0,447.81
3,78.39,3.65,29.48,135 kWh,753.14,12-08-2017,11-09-2017,4.38,-16.43,-8.65,-397.79,T-0,446.17
4,78.07,7.19,29.36,134 kWh,742.60,12-07-2017,12-08-2017,4.33,-16.37,-8.61,-392.23,T-0,444.34
5,77.75,9.32,29.24,141 kWh,792.24,12-06-2017,12-07-2017,4.56,-16.30,-8.58,-418.43,T-0,469.80
6,77.42,2.92,84.85,162 kWh,929.97,12-05-2017,12-06-2017,10.92,,,,T-0,"1,106.08"
7,75.45,3.02,87.02,165 kWh,937.73,11-04-2017,12-05-2017,11.00,,,,T-0,"1,114.22"
8,75.13,,29.75,141 kWh,765.59,13-03-2017,11-04-2017,4.43,-14.44,-9.33,-403.60,T-0,447.53
9,74.83,2.86,29.63,146 kWh,798.82,10-02-2017,13-03-2017,4.58,-14.38,-9.30,-421.12,T-0,465.92
10,74.52,4.80,29.50,134 kWh,708.90,13-01-2017,09-03-2017,4.16,-14.32,-9.26,-373.70,T-0,424.60
11,74.24,8.80,85.64,157 kWh,868.84,11-12-2016,09-03-2017,5.46,-14.26,-9.22,-459.45,T-0,560.05
14,74.52,4.80,29.50,141 kWh,759.40,13-01-2017,10-02-2017,8.63,,,,T-0,876.85
15,74.24,8.80,29.39,150 kWh,821.23,11-12-2016,13-01-2017,4.68,-14.26,-9.22,-432.92,T-0,481.94
