,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,Regulacion INE,Subsidio Alumb. P�blico menor 150 kWh,Subsidio Comercializacion menor 150 kWh,Subsidio consumo menor 150 kWh,Tarifa:,Total
0,79.03,5.82,29.72,143 kWh,820.51,12-10-2017,11-11-2017,4.71,-16.57,-8.72,-433.38,T-0,481.12
1,78.71,11.57,86.25,156 kWh,913.67,11-09-2017,12-10-2017,10.79,,,,T-0,"1,100.99"
2,78.39,7.48,85.90,163 kWh,959.92,12-08-2017,11-09-2017,11.24,,,,T-0,"1,142.93"
3,78.07,203.82,85.55,171 kWh,"1,013.11",12-07-2017,12-08-2017,11.77,,,,T-0,"1,392.32"
4,77.75,7.06,85.20,166 kWh,973.50,12-06-2017,12-07-2017,11.36,,,,T-0,"1,154.87"
5,77.42,,84.85,183 kWh,"1,076.21",12-05-2017,12-06-2017,12.38,,,,T-0,"1,250.86"
6,75.45,,87.02,173 kWh,992.76,11-04-2017,12-05-2017,11.55,,,,T-0,"1,166.78"
7,75.13,,29.75,145 kWh,794.66,13-03-2017,11-04-2017,4.57,-14.44,-9.33,-418.93,T-0,461.41
8,74.83,3.30,29.63,146 kWh,798.82,10-02-2017,13-03-2017,4.58,-14.38,-9.30,-421.12,T-0,466.36
9,74.52,135.17,29.50,130 kWh,680.06,13-01-2017,10-02-2017,4.02,-14.32,-9.26,-358.50,T-0,541.19
10,74.24,,85.64,155 kWh,855.23,11-12-2016,13-01-2017,5.40,-14.26,-9.22,-451.85,T-0,545.18
11,73.93,603.66,85.29,187 kWh,"1,067.11",09-11-2016,11-12-2016,12.26,,,,T-0,"1,842.25"
