,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,IVA,Regulacion INE,Tarifa:,Total
0,,86.96,275 kWh,"1,780.77",04-11-2017,05-12-2017,,18.68,T-0,"1,886.41"
1,,86.60,240 kWh,"1,521.26",05-10-2017,04-11-2017,,16.08,T-0,"1,623.94"
2,,86.25,288 kWh,"1,859.57",04-09-2017,05-10-2017,,19.46,T-0,"1,965.28"
3,,85.90,300 kWh,"1,937.57",04-08-2017,04-09-2017,,20.23,T-0,"2,043.70"
4,,85.55,264 kWh,"1,673.46",05-07-2017,04-08-2017,,17.59,T-0,"1,776.60"
5,,85.20,291 kWh,"1,858.10",05-06-2017,05-07-2017,,19.43,T-0,"1,962.73"
6,,84.85,331 kWh,"2,093.33",05-05-2017,05-06-2017,146.53,21.78,T-0,"2,346.49"
7,,87.02,302 kWh,"1,878.70",04-04-2017,05-05-2017,131.51,19.66,T-0,"2,116.89"
8,,86.66,271 kWh,"1,658.64",06-03-2017,04-04-2017,,17.45,T-0,"1,762.75"
9,,86.32,256 kWh,"1,549.92",03-02-2017,06-03-2017,,16.36,T-0,"1,652.60"
10,12.28,85.96,207 kWh,"1,210.56",06-01-2017,03-02-2017,,12.97,T-0,"1,321.77"
11,191.79,85.64,267 kWh,"1,612.18",05-12-2016,06-01-2017,,16.98,T-0,"1,906.59"
