,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,Regulacion INE,Tarifa:,Total
0,75.45,5.68,87.02,216 kWh,"1,288.49",10-04-2017,11-05-2017,14.51,T-0,"1,471.15"
1,75.13,13.69,86.66,201 kWh,"1,180.34",11-03-2017,10-04-2017,13.42,T-0,"1,369.24"
2,74.83,206.80,86.32,194 kWh,"1,127.96",09-02-2017,11-03-2017,12.89,T-0,"1,508.80"
3,74.52,8.17,85.96,180 kWh,"1,028.13",12-01-2017,09-02-2017,11.89,T-0,"1,208.67"
4,74.24,9.85,85.64,228 kWh,"1,349.39",11-12-2016,12-01-2017,15.09,T-0,"1,534.21"
5,73.93,203.39,85.29,218 kWh,"1,276.19",09-11-2016,11-12-2016,14.35,T-0,"1,653.15"
6,73.93,12.39,85.29,218 kWh,"1,276.19",09-11-2016,15-12-2016,14.35,T-0,"1,462.15"
8,73.63,,84.93,200 kWh,"1,149.88",10-10-2016,09-11-2016,13.08,T-0,"1,321.52"
9,73.34,21.94,84.60,224 kWh,"1,305.81",08-09-2016,10-10-2016,14.64,T-0,"1,500.33"
10,73.04,7.79,84.25,208 kWh,"1,193.69",09-08-2016,08-09-2016,13.51,T-0,"1,372.28"
11,72.75,199.66,83.91,217 kWh,"1,257.80",09-07-2016,09-08-2016,14.14,T-0,"1,628.26"
12,73.20,6.78,83.56,196 kWh,"1,116.35",09-06-2016,09-07-2016,12.73,T-0,"1,292.62"
13,72.90,,83.22,184 kWh,"1,032.08",10-05-2016,09-06-2016,11.88,T-0,"1,200.08"
