,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,IVA,Regulacion INE,Tarifa:,Total
0,79.36,,86.96,361 kWh,"2,405.70",11-11-2017,14-12-2017,168.40,25.72,T-0,"2,766.14"
1,79.03,,86.60,363 kWh,"2,409.72",12-10-2017,11-11-2017,168.68,25.75,T-0,"2,769.78"
2,78.71,,86.25,289 kWh,"1,868.71",11-09-2017,12-10-2017,,20.34,T-0,"2,054.01"
3,78.39,,85.90,322 kWh,"2,096.92",12-08-2017,11-09-2017,146.78,22.61,T-0,"2,430.60"
4,78.07,,85.55,266 kWh,"1,689.69",12-07-2017,12-08-2017,,18.53,T-0,"1,871.84"
5,77.75,,85.20,210 kWh,"1,285.55",12-06-2017,12-07-2017,,14.49,T-0,"1,462.99"
6,77.42,,84.85,384 kWh,"2,475.96",12-05-2017,12-06-2017,173.32,26.38,T-0,"2,837.93"
7,75.45,184.14,87.02,443 kWh,"2,851.18",11-04-2017,12-05-2017,199.58,30.14,T-0,"3,427.51"
8,75.13,203.43,86.66,305 kWh,"1,893.51",13-03-2017,11-04-2017,132.55,20.55,T-0,"2,411.83"
9,74.83,89.05,86.32,305 kWh,"1,886.14",10-02-2017,13-03-2017,132.03,20.47,T-0,"2,288.84"
10,74.52,275.05,85.96,226 kWh,"1,341.07",13-01-2017,10-02-2017,,15.02,T-0,"1,791.62"
11,74.24,262.75,85.64,328 kWh,"2,027.26",14-12-2016,13-01-2017,141.91,21.87,T-0,"2,613.67"
