,Alumbrado Publico,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,Regulacion INE,Subsidio a Jubilados con consumo menor 150kWh,Tarifa:,Total
0,79.36,86.96,250 kWh,"1,601.48",09-11-2017,12-12-2017,13.30,-438.03,T-J,"1,343.07"
1,79.03,86.60,229 kWh,"1,443.13",10-10-2017,09-11-2017,11.72,-436.27,T-J,"1,184.21"
2,78.71,86.25,258 kWh,"1,645.53",08-09-2017,10-10-2017,13.76,-434.46,T-J,"1,389.79"
3,78.39,85.90,250 kWh,"1,581.30",09-08-2017,08-09-2017,13.13,-432.73,T-J,"1,325.99"
4,78.07,85.55,250 kWh,"1,575.10",10-07-2017,09-08-2017,13.08,-430.95,T-J,"1,320.85"
5,77.75,85.20,253 kWh,"1,589.97",09-06-2017,10-07-2017,13.24,-429.13,T-J,"1,337.03"
6,77.42,84.85,251 kWh,"1,545.54",10-05-2017,09-06-2017,12.90,-418.17,T-J,"1,302.54"
7,75.45,87.02,281 kWh,"1,735.50",08-04-2017,10-05-2017,14.82,-416.45,T-J,"1,496.34"
8,75.13,86.66,231 kWh,"1,385.58",10-03-2017,08-04-2017,11.33,-414.78,T-J,"1,143.92"
9,74.83,86.32,212 kWh,"1,224.90",08-02-2017,10-03-2017,9.73,-413.09,T-J,982.69
10,74.52,85.96,174 kWh,961.08,11-01-2017,08-02-2017,7.10,-411.78,T-J,716.88
11,74.24,85.64,193 kWh,"1,086.26",11-12-2016,11-01-2017,8.36,-410.10,T-J,844.40
