,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,Regulacion INE,Subsidio Alumb. P�blico menor 150 kWh,Subsidio Comercializacion menor 150 kWh,Subsidio consumo menor 150 kWh,Tarifa:,Total
0,79.68,7.97,29.97,139 kWh,796.72,14-12-2017,14-01-2018,4.60,-16.71,-8.79,-420.80,T-0,472.64
1,79.36,5.92,29.85,150 kWh,877.86,11-11-2017,14-12-2017,4.98,-16.64,-8.76,-463.67,T-0,508.90
2,79.03,2.96,86.60,154 kWh,902.90,12-10-2017,11-11-2017,10.69,,,,T-0,"1,082.18"
3,78.71,3.36,86.25,151 kWh,877.78,11-09-2017,12-10-2017,5.54,-16.50,-8.68,-463.85,T-0,562.61
4,78.39,,29.48,138 kWh,775.91,12-08-2017,11-09-2017,4.49,-16.43,-8.65,-409.82,T-0,453.37
5,78.07,4.44,29.36,146 kWh,833.29,12-07-2017,12-08-2017,4.76,-16.37,-8.61,-440.13,T-0,484.81
6,77.75,7.95,29.24,132 kWh,724.48,12-06-2017,12-07-2017,4.24,-16.30,-8.58,-382.65,T-0,436.13
7,77.42,8.62,84.85,155 kWh,881.35,12-05-2017,12-06-2017,5.53,-16.23,-8.54,-466.15,T-0,566.85
8,75.45,2.36,87.02,173 kWh,992.76,11-04-2017,12-05-2017,11.55,,,,T-0,"1,169.14"
9,75.13,1.36,29.75,147 kWh,809.23,13-03-2017,11-04-2017,9.14,,,,T-0,924.61
10,74.83,2.59,29.63,110 kWh,538.00,10-02-2017,13-03-2017,3.35,-14.38,-9.30,-283.62,T-0,341.10
11,19.88,,29.50,87 kWh,392.67,13-01-2017,10-02-2017,2.22,-3.82,-9.26,-207.00,T-0,224.19
