,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,Regulacion INE,Tarifa:,Total
0,79.68,0.76,87.32,203 kWh,"1,267.57",17-12-2017,16-01-2018,14.35,T-0,"1,449.68"
1,79.36,,86.96,228 kWh,"1,443.42",15-11-2017,17-12-2017,16.10,T-0,"1,625.84"
2,79.03,6.06,86.60,236 kWh,"1,494.99",16-10-2017,15-11-2017,16.61,T-0,"1,683.29"
3,78.71,0.74,86.25,230 kWh,"1,446.06",16-09-2017,16-10-2017,16.11,T-0,"1,627.87"
4,78.39,4.65,85.90,226 kWh,"1,411.42",16-08-2017,16-09-2017,15.76,T-0,"1,596.12"
5,78.07,2.99,85.55,237 kWh,"1,483.98",15-07-2017,16-08-2017,16.48,T-0,"1,667.07"
6,77.75,,85.20,230 kWh,"1,428.12",15-06-2017,15-07-2017,15.91,T-0,"1,606.98"
7,77.42,0.63,84.85,235 kWh,"1,443.17",16-05-2017,15-06-2017,16.05,T-0,"1,622.12"
8,75.45,,87.02,199 kWh,"1,172.56",16-04-2017,16-05-2017,13.35,T-0,"1,348.38"
9,75.13,,86.66,202 kWh,"1,188.29",16-03-2017,16-04-2017,13.50,T-0,"1,363.58"
10,74.83,0.55,86.32,202 kWh,"1,183.46",13-02-2017,16-03-2017,13.45,T-0,"1,358.61"
11,74.52,2.84,85.96,178 kWh,"1,015.21",16-01-2017,13-02-2017,11.76,T-0,"1,190.29"
